"id_cat","categorie","id_track","nom_track","id_art","nom_art","id_album","nom_album","date_album"
38,"french","4TNFLwe6DhtR3Wn1JKMqMJ","Makeba","2HHmvvSQ44ePDH7IKVzgK0","Jain","2rb6C1wUwk7hFOVmfgt19k","Zanaka (Deluxe)","2016-11-25"
38,"french","5ZduaRci3iNUiDfJbBfAaf","Give It To Me - Full Vocal Mix","21dVknSLCsK37cWozWDZZS","Matt Sassari","1jbRY71konakrKvDUiW7Rp","Give It To Me (Full Vocal Mix)","2021-10-22"
38,"french","5fnA9mkIfScSqHIpeDyvck","Prayer in C - Robin Schulz Radio Edit","3t5xRXzsuZmMDkQzgOX35S","Robin Schulz","6Ps0kbvAjuz75uK0uuZzWa","Prayer in C","2014-05-16"
38,"french","65uoaqX5qcjXZRheAj1qQT","Dernière danse","0FEJqmeLRzsXj8hgcZaAyB","Indila","1r7XjAgjwlakmXC2GbPXjH","Mini World","2014-01-01"
38,"french","0jOnZhF75V68VsBObWx2XO","The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)","7JmDqds7Y1LRSWZVM8e0Og","Kathryn Stott","2y85NsbsBnGTXcXgHpj3PD","Songs from the Arc of Life","2015-09-18"
38,"french","3rTnGUeDrnZV22DvRuUuXr","Wait","63MQldklfxkjYDoUE4Tppz","M83","6R0ynY7RF20ofs9GJR5TXR","Hurry Up, We're Dreaming",2011
38,"french","4OWa2dOlmtvMDhFrFL0QA1","La leçon particulière - Bande originale du film ""La leçon particulière""","6B3KK89Stpd0cBueX1oLzT","Christian Gaubert","7zfXdUZDhx7uKVLUPKGJWz","Mayerling","2003-01-01"
38,"french","1Fwj0wThn3kTg8D7KgWdsU","My Tears Are Becoming A Sea","63MQldklfxkjYDoUE4Tppz","M83","6R0ynY7RF20ofs9GJR5TXR","Hurry Up, We're Dreaming",2011
38,"french","1MqzIgGsHP4cNjPboevsfq","Tourner Dans Le Vide","0FEJqmeLRzsXj8hgcZaAyB","Indila","1r7XjAgjwlakmXC2GbPXjH","Mini World","2014-01-01"
39,"funk","2qOm7ukLyHUXWyR4ZWLwxA","It Was A Good Day","3Mcii5XWf6E0lrY3Uky4cA","Ice Cube","71HM1CMYWeZzws8pyiEn46","The Predator","1992-11-17"
39,"funk","3d9DChrdc6BOeFsbrZ3Is0","Under the Bridge","0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","30Perjew8HyGkdSmqguYyg","Blood Sugar Sex Magik (Deluxe Edition)","1991-09-24"
39,"funk","1G391cbiT3v3Cywg8T7DM1","Scar Tissue","0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2Y9IRtehByVkegoD7TcLfi","Californication (Deluxe Edition)","1999-06-08"
39,"funk","3ZOEytgrvLwQaqXreDs2Jx","Can't Stop","0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","6deiaArbeoqp1xPEGdEKp1","By the Way (Deluxe Edition)","2002-07-09"
39,"funk","1k1Bqnv2R0uJXQN4u6LKYt","Ain't No Sunshine","1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","6N8uPmDqbgXD3ztkCCfxoo","Just As I Am","1971-05-01"
39,"funk","0bRXwKfigvpKZUurwqAlEh","Lovely Day","1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","3QjPTUI6UcPr5m9RujkO3c","Menagerie","1977-10-29"
39,"funk","48UPSzbZjgc449aqz8bxox","Californication","0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2Y9IRtehByVkegoD7TcLfi","Californication (Deluxe Edition)","1999-06-08"
39,"funk","1DIXPcTDzTj8ZMHt3PDt8p","Gangsta's Paradise","2LhsePRtgCo4THVKULQBL7","L.V.","0BJYNipGyMrw4ngKDJXzXZ","Gangsta's Paradise","1995-11-07"
39,"funk","7nnWIPM5hwE3DaUBkvOIpy","Drive","3YcBF2ttyueytpXtEzn1Za","Incubus","2i6nd4FV6y7K9fln6eelmR","Make Yourself","1999-10-26"
39,"funk","5cZqsjVs6MevCnAkasbEOX","Break Stuff","165ZgPlLkK7bf5bDoFc6Sb","Limp Bizkit","3HCCUaRSjHSFOe4fqE0BiP","Significant Other",1999
40,"garage","58ge6dfP91o9oXMzq3XkIS",505,"7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","6rsQnwaoJHxXJRCDBPkBRw","Favourite Worst Nightmare (Standard Version)","2007-04-24"
40,"garage","5XeFesFbtLpXzIVDNQP22n","I Wanna Be Yours","7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","78bpIziExqiI9qztvNFlQu","AM","2013-09-09"
40,"garage","086myS9r57YsLbJpU0TgK9","Why'd You Only Call Me When You're High?","7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","78bpIziExqiI9qztvNFlQu","AM","2013-09-09"
40,"garage","5FVd6KXrgO9B3JPmC8OPst","Do I Wanna Know?","7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","78bpIziExqiI9qztvNFlQu","AM","2013-09-09"
40,"garage","11iIikXxC6NP0Ma8vMD27x","Alien Blues","1W4itxt3vwhmrgLEBuVHJ6","Vundabar","1vWOYk3hF5bgVUUUaPvYLh","Gawk","2015-07-24"
